
Analise  de Dados com Kruskal-Wallis para amostras nao parametricas
    algo  a  b       tmin  nfo     time
144 ED12 -7 36 0.02996970 1450 1432.997
145 ED12 -7 36 0.02996970 1493 1388.279
146 ED12 -7 36 0.02996970 1389 1193.856
147 ED12 -7 36 0.02996970 1430 1238.413
148 ED12 -7 36 0.02996970 1434 1249.744
149 ED12 -7 36 0.02996970 1465 1069.134
150 ED12 -7 36 0.02996970 1427 1014.503
151 ED22 -7 36 0.02996970 1484 1742.010
152 ED22 -7 36 0.02996970 1495 1727.771
153 ED22 -7 36 0.02996970 1493 1690.213
154 ED22 -7 36 0.02996970 1458 1669.247
155 ED22 -7 36 0.02996970 1472 1667.558
156 ED22 -8 36 0.03004283 1479 1698.561
157 ED22 -7 36 0.02996970 1473 1684.701
158 ED22 -7 36 0.02996970 1482 1681.649
159 ED22 -7 36 0.02996970 1496 1715.477
160 ED22 -7 36 0.02996970 1495 1726.197
161 ED22 -7 36 0.02996970 1483 1713.021
162 ED22 -7 36 0.02996970 1482 1704.490
163 ED22 -7 36 0.02996970 1492 1773.906
164 ED22 -7 36 0.02996970 1473 1791.272
165 ED22 -7 36 0.02996970 1507 1824.628
166 ED22 -7 36 0.02996970 1471 1813.192
 [ reached 'max' / getOption("max.print") -- omitted 314 rows ]
     algo                 a                b              tmin              nfo      
 Length:480         Min.   :-8.000   Min.   :33.00   Min.   :0.02997   Min.   : 927  
 Class :character   1st Qu.:-7.000   1st Qu.:36.00   1st Qu.:0.02997   1st Qu.:1345  
 Mode  :character   Median :-7.000   Median :36.00   Median :0.02997   Median :1410  
                    Mean   :-7.002   Mean   :36.05   Mean   :0.03001   Mean   :1382  
                    3rd Qu.:-7.000   3rd Qu.:36.00   3rd Qu.:0.02997   3rd Qu.:1468  
                    Max.   :-6.000   Max.   :38.00   Max.   :0.03234   Max.   :1515  
      time       
 Min.   : 601.8  
 1st Qu.:1325.0  
 Median :1477.8  
 Mean   :1444.3  
 3rd Qu.:1612.7  
 Max.   :1842.1  

	Shapiro-Wilk normality test

data:  data[[vardata]]
W = 0.23429, p-value < 2.2e-16

Error in shapiro.test(dtdea1[[vardata]]) : all 'x' values are identical
Error in shapiro.test(dtdeb1[[vardata]]) : all 'x' values are identical

	Shapiro-Wilk normality test

data:  dtdec1[[vardata]]
W = 0.17962, p-value = 7.766e-12

Error in shapiro.test(dtded1[[vardata]]) : all 'x' values are identical

	Shapiro-Wilk normality test

data:  dtdea2[[vardata]]
W = 0.18791, p-value = 8.973e-12


	Shapiro-Wilk normality test

data:  dtdeb2[[vardata]]
W = 0.17962, p-value = 7.766e-12


	Shapiro-Wilk normality test

data:  dtdec2[[vardata]]
W = 0.44347, p-value = 1.421e-09

Error in shapiro.test(dtded2[[vardata]]) : all 'x' values are identical

	Shapiro-Wilk normality test

data:  dtdea3[[vardata]]
W = 0.75082, p-value = 9.389e-06

Error in shapiro.test(dtdeb3[[vardata]]) : all 'x' values are identical

	Shapiro-Wilk normality test

data:  dtdec3[[vardata]]
W = 0.8083, p-value = 9.321e-05

Error in shapiro.test(dtded3[[vardata]]) : all 'x' values are identical
Error in shapiro.test(dtdea4[[vardata]]) : all 'x' values are identical

	Shapiro-Wilk normality test

data:  dtdeb4[[vardata]]
W = 0.17962, p-value = 7.766e-12

Error in shapiro.test(dtdec4[[vardata]]) : all 'x' values are identical
Error in shapiro.test(dtded4[[vardata]]) : all 'x' values are identical
Warning message:
In leveneTest.default(y = y, group = group, ...) : group coerced to factor.
Levene's Test for Homogeneity of Variance (center = median)
       Df F value    Pr(>F)    
group  15  9.0756 < 2.2e-16 ***
      464                      
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

	Kruskal-Wallis rank sum test

data:  tmin by algo
Kruskal-Wallis chi-squared = 220.13, df = 15, p-value < 2.2e-16

Warning message:
algo was coerced to a factor. 
Dunn (1964) Kruskal-Wallis multiple comparison
  p-values adjusted with the Benjamini-Hochberg method.

     Comparison          Z      P.unadj        P.adj
1   ED11 - ED12  0.0000000 1.000000e+00 1.000000e+00
2   ED11 - ED13 -0.4005166 6.887761e-01 1.000000e+00
3   ED12 - ED13 -0.4005166 6.887761e-01 1.000000e+00
4   ED11 - ED14  0.0000000 1.000000e+00 1.000000e+00
5   ED12 - ED14  0.0000000 1.000000e+00 1.000000e+00
6   ED13 - ED14  0.4005166 6.887761e-01 1.000000e+00
7   ED11 - ED21 -0.8716599 3.833939e-01 9.021033e-01
8   ED12 - ED21 -0.8716599 3.833939e-01 9.201454e-01
9   ED13 - ED21 -0.4711434 6.375384e-01 1.000000e+00
10  ED14 - ED21 -0.8716599 3.833939e-01 9.389239e-01
11  ED11 - ED22 -0.4005166 6.887761e-01 1.000000e+00
12  ED12 - ED22 -0.4005166 6.887761e-01 1.000000e+00
13  ED13 - ED22  0.0000000 1.000000e+00 1.000000e+00
14  ED14 - ED22 -0.4005166 6.887761e-01 1.000000e+00
15  ED21 - ED22  0.4711434 6.375384e-01 1.000000e+00
16  ED11 - ED23 -2.5246848 1.158021e-02 3.755744e-02
17  ED12 - ED23 -2.5246848 1.158021e-02 3.860070e-02
18  ED13 - ED23 -2.1241682 3.365608e-02 1.009682e-01
19  ED14 - ED23 -2.5246848 1.158021e-02 3.970358e-02
20  ED21 - ED23 -1.6530249 9.832580e-02 2.877828e-01
21  ED22 - ED23 -2.1241682 3.365608e-02 1.035572e-01
22  ED11 - ED24  0.0000000 1.000000e+00 1.000000e+00
23  ED12 - ED24  0.0000000 1.000000e+00 1.000000e+00
24  ED13 - ED24  0.4005166 6.887761e-01 1.000000e+00
25  ED14 - ED24  0.0000000 1.000000e+00 1.000000e+00
26  ED21 - ED24  0.8716599 3.833939e-01 9.584848e-01
27  ED22 - ED24  0.4005166 6.887761e-01 1.000000e+00
28  ED23 - ED24  2.5246848 1.158021e-02 4.087133e-02
29  ED11 - ED31 -7.3049573 2.773548e-13 1.512844e-12
30  ED12 - ED31 -7.3049573 2.773548e-13 1.584884e-12
31  ED13 - ED31 -6.9044408 5.040158e-12 2.419276e-11
32  ED14 - ED31 -7.3049573 2.773548e-13 1.664129e-12
33  ED21 - ED31 -6.4332974 1.248650e-10 5.763000e-10
34  ED22 - ED31 -6.9044408 5.040158e-12 2.520079e-11
35  ED23 - ED31 -4.7802725 1.750577e-06 7.502474e-06
36  ED24 - ED31 -7.3049573 2.773548e-13 1.751714e-12
37  ED11 - ED32  0.0000000 1.000000e+00 1.000000e+00
38  ED12 - ED32  0.0000000 1.000000e+00 1.000000e+00
39  ED13 - ED32  0.4005166 6.887761e-01 1.000000e+00
40  ED14 - ED32  0.0000000 1.000000e+00 1.000000e+00
41  ED21 - ED32  0.8716599 3.833939e-01 9.788781e-01
42  ED22 - ED32  0.4005166 6.887761e-01 1.000000e+00
43  ED23 - ED32  2.5246848 1.158021e-02 4.210986e-02
44  ED24 - ED32  0.0000000 1.000000e+00 1.000000e+00
45  ED31 - ED32  7.3049573 2.773548e-13 1.849032e-12
46  ED11 - ED33 -8.6951432 3.463927e-18 4.618569e-17
47  ED12 - ED33 -8.6951432 3.463927e-18 5.195890e-17
48  ED13 - ED33 -8.2946266 1.089268e-16 1.089268e-15
49  ED14 - ED33 -8.6951432 3.463927e-18 5.938160e-17
50  ED21 - ED33 -7.8234832 5.138140e-15 4.742898e-14
51  ED22 - ED33 -8.2946266 1.089268e-16 1.188292e-15
52  ED23 - ED33 -6.1704584 6.809230e-10 3.026324e-09
53  ED24 - ED33 -8.6951432 3.463927e-18 6.927854e-17
54  ED31 - ED33 -1.3901859 1.644724e-01 4.699213e-01
55  ED32 - ED33 -8.6951432 3.463927e-18 8.313424e-17
56  ED11 - ED34  0.0000000 1.000000e+00 1.000000e+00
57  ED12 - ED34  0.0000000 1.000000e+00 1.000000e+00
58  ED13 - ED34  0.4005166 6.887761e-01 1.000000e+00
59  ED14 - ED34  0.0000000 1.000000e+00 1.000000e+00
60  ED21 - ED34  0.8716599 3.833939e-01 1.000000e+00
61  ED22 - ED34  0.4005166 6.887761e-01 1.000000e+00
62  ED23 - ED34  2.5246848 1.158021e-02 4.342579e-02
63  ED24 - ED34  0.0000000 1.000000e+00 1.000000e+00
64  ED31 - ED34  7.3049573 2.773548e-13 1.957798e-12
65  ED32 - ED34  0.0000000 1.000000e+00 1.000000e+00
66  ED33 - ED34  8.6951432 3.463927e-18 1.039178e-16
67  ED11 - ED41  0.0000000 1.000000e+00 1.000000e+00
68  ED12 - ED41  0.0000000 1.000000e+00 1.000000e+00
69  ED13 - ED41  0.4005166 6.887761e-01 1.000000e+00
70  ED14 - ED41  0.0000000 1.000000e+00 1.000000e+00
71  ED21 - ED41  0.8716599 3.833939e-01 1.000000e+00
72  ED22 - ED41  0.4005166 6.887761e-01 1.000000e+00
73  ED23 - ED41  2.5246848 1.158021e-02 4.482662e-02
74  ED24 - ED41  0.0000000 1.000000e+00 1.000000e+00
75  ED31 - ED41  7.3049573 2.773548e-13 2.080161e-12
76  ED32 - ED41  0.0000000 1.000000e+00 1.000000e+00
77  ED33 - ED41  8.6951432 3.463927e-18 1.385571e-16
78  ED34 - ED41  0.0000000 1.000000e+00 1.000000e+00
79  ED11 - ED42 -0.4005166 6.887761e-01 1.000000e+00
80  ED12 - ED42 -0.4005166 6.887761e-01 1.000000e+00
81  ED13 - ED42  0.0000000 1.000000e+00 1.000000e+00
82  ED14 - ED42 -0.4005166 6.887761e-01 1.000000e+00
83  ED21 - ED42  0.4711434 6.375384e-01 1.000000e+00
84  ED22 - ED42  0.0000000 1.000000e+00 1.000000e+00
85  ED23 - ED42  2.1241682 3.365608e-02 1.062824e-01
86  ED24 - ED42 -0.4005166 6.887761e-01 1.000000e+00
87  ED31 - ED42  6.9044408 5.040158e-12 2.629648e-11
88  ED32 - ED42 -0.4005166 6.887761e-01 1.000000e+00
89  ED33 - ED42  8.2946266 1.089268e-16 1.307122e-15
90  ED34 - ED42 -0.4005166 6.887761e-01 1.000000e+00
91  ED41 - ED42 -0.4005166 6.887761e-01 1.000000e+00
92  ED11 - ED43  0.0000000 1.000000e+00 1.000000e+00
93  ED12 - ED43  0.0000000 1.000000e+00 1.000000e+00
94  ED13 - ED43  0.4005166 6.887761e-01 1.000000e+00
95  ED14 - ED43  0.0000000 1.000000e+00 1.000000e+00
96  ED21 - ED43  0.8716599 3.833939e-01 1.000000e+00
97  ED22 - ED43  0.4005166 6.887761e-01 1.000000e+00
98  ED23 - ED43  2.5246848 1.158021e-02 4.632084e-02
99  ED24 - ED43  0.0000000 1.000000e+00 1.000000e+00
100 ED31 - ED43  7.3049573 2.773548e-13 2.218838e-12
101 ED32 - ED43  0.0000000 1.000000e+00 1.000000e+00
102 ED33 - ED43  8.6951432 3.463927e-18 2.078356e-16
103 ED34 - ED43  0.0000000 1.000000e+00 1.000000e+00
104 ED41 - ED43  0.0000000 1.000000e+00 1.000000e+00
105 ED42 - ED43  0.4005166 6.887761e-01 1.000000e+00
106 ED11 - ED44  0.0000000 1.000000e+00 1.000000e+00
107 ED12 - ED44  0.0000000 1.000000e+00 1.000000e+00
108 ED13 - ED44  0.4005166 6.887761e-01 1.000000e+00
109 ED14 - ED44  0.0000000 1.000000e+00 1.000000e+00
110 ED21 - ED44  0.8716599 3.833939e-01 1.000000e+00
111 ED22 - ED44  0.4005166 6.887761e-01 1.000000e+00
112 ED23 - ED44  2.5246848 1.158021e-02 4.791811e-02
113 ED24 - ED44  0.0000000 1.000000e+00 1.000000e+00
114 ED31 - ED44  7.3049573 2.773548e-13 2.377326e-12
115 ED32 - ED44  0.0000000 1.000000e+00 1.000000e+00
116 ED33 - ED44  8.6951432 3.463927e-18 4.156712e-16
117 ED34 - ED44  0.0000000 1.000000e+00 1.000000e+00
118 ED41 - ED44  0.0000000 1.000000e+00 1.000000e+00
119 ED42 - ED44  0.4005166 6.887761e-01 1.000000e+00
120 ED43 - ED44  0.0000000 1.000000e+00 1.000000e+00
   Group Letter MonoLetter
1   ED11      a         a 
2   ED12      a         a 
3   ED13      a         a 
4   ED14      a         a 
5   ED21      a         a 
6   ED22      a         a 
7   ED23      a         a 
8   ED24      a         a 
9   ED31      b          b
10  ED32      a         a 
11  ED33      b          b
12  ED34      a         a 
13  ED41      a         a 
14  ED42      a         a 
15  ED43      a         a 
16  ED44      a         a 
