
Analise  de Dados com Kruskal-Wallis para amostras nao parametricas
    algo   a  b       tmin  nfo      time
                    Max.   : -3.000   Max.   :38.00   Max.   :0.03403   Max.   :1005.0  
      time       
 Min.   : 387.5  
 1st Qu.: 830.3  
 Median : 937.5  
 Mean   : 897.1  
 3rd Qu.: 982.3  
 Max.   :1026.1  

	Shapiro-Wilk normality test

data:  data[[vardata]]
W = 0.23519, p-value < 2.2e-16

Warning message:
In leveneTest.default(y = y, group = group, ...) : group coerced to factor.
Levene's Test for Homogeneity of Variance (center = median)
       Df F value    Pr(>F)    
group   7  5.1708 1.728e-05 ***
      232                      
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

	Kruskal-Wallis rank sum test

data:  tmin by algo
Kruskal-Wallis chi-squared = 51.029, df = 7, p-value = 9.066e-09

Warning message:
algo was coerced to a factor. 
Dunn (1964) Kruskal-Wallis multiple comparison
  p-values adjusted with the Benjamini-Hochberg method.

    Comparison          Z      P.unadj        P.adj
1  ED11 - ED12  0.6616493 5.081960e-01 6.467949e-01
2  ED11 - ED21 -4.1225839 3.746460e-05 1.748348e-04
3  ED12 - ED21 -4.7842332 1.716413e-06 2.402978e-05
4  ED11 - ED22 -0.7230240 4.696652e-01 6.575312e-01
5  ED12 - ED22 -1.3846733 1.661524e-01 2.907667e-01
6  ED21 - ED22  3.3995600 6.749438e-04 1.889843e-03
7  ED11 - ED31 -3.7139182 2.040748e-04 7.142617e-04
8  ED12 - ED31 -4.3755675 1.211170e-05 6.782550e-05
9  ED21 - ED31  0.4086657 6.827850e-01 8.312165e-01
10 ED22 - ED31 -2.9908942 2.781618e-03 6.490442e-03
11 ED11 - ED32  0.6616493 5.081960e-01 6.775947e-01
12 ED12 - ED32  0.0000000 1.000000e+00 1.000000e+00
13 ED21 - ED32  4.7842332 1.716413e-06 4.805956e-05
14 ED22 - ED32  1.3846733 1.661524e-01 3.101511e-01
15 ED31 - ED32  4.3755675 1.211170e-05 8.478187e-05
16 ED11 - ED41  0.3188491 7.498410e-01 8.075210e-01
17 ED12 - ED41 -0.3428002 7.317488e-01 8.195586e-01
18 ED21 - ED41  4.4414330 8.936176e-06 8.340431e-05
19 ED22 - ED41  1.0418731 2.974705e-01 4.627319e-01
20 ED31 - ED41  4.0327673 5.512386e-05 2.204954e-04
21 ED32 - ED41 -0.3428002 7.317488e-01 8.537069e-01
22 ED11 - ED42 -0.7230240 4.696652e-01 6.921381e-01
23 ED12 - ED42 -1.3846733 1.661524e-01 3.323048e-01
24 ED21 - ED42  3.3995600 6.749438e-04 2.099825e-03
25 ED22 - ED42  0.0000000 1.000000e+00 1.000000e+00
26 ED31 - ED42  2.9908942 2.781618e-03 7.080483e-03
27 ED32 - ED42 -1.3846733 1.661524e-01 3.578667e-01
28 ED41 - ED42 -1.0418731 2.974705e-01 4.899515e-01
  Group Letter MonoLetter
1  ED11      a         a 
2  ED12      a         a 
3  ED21      b          b
4  ED22      a         a 
5  ED31      b          b
6  ED32      a         a 
7  ED41      a         a 
8  ED42      a         a 
